khach_cmt,rating,shop_phan_hoi
mất công đổi quần rồi vẫn giao nhầm. chịu thật,1,"dạ, em chào quý khách ạ, em xin lỗi vì để mình không hài lòng về chất lượng sản phẩm, em có thể hỗ trợ mình đổi trả hoặc hoàn tiền được không ạ"
quần tạm thanh toán shopee pay cái là 3 ngày shop mới gửi đơn quá chậm kiểu nhận được tiền thì cứ từ từ,1,"dạ, em chào quýkhách ạ, em xin lỗi vìđểmình không hài lòng vềchất lượng sản phẩm, em có thểhỗtrợmình đổi trảhoặc hoàn tiền được không ạ"
2 người cùng mua một loại quần nhưng 2 quần khác nhau,1,"dạ, em chào quýkhách ạ, em xin lỗi vìđểmình không hài lòng vềchất lượng sản phẩm, em có thểhỗtrợmình đổi trảhoặc hoàn tiền được không ạ"
quần rách gối mà vết rách nằm giữa đùi đã hỏi shop tư vấn size rồi mà vẫn vậy vết rách nằm giữa đùi ra cái thể thống gì làm ăn vl,1,"dạ, em chào quý khách ạ, em xin lỗi vì để mình không hài lòng về chất lượng sản phẩm, em có thể hỗ trợ mình đổi trả hoặc hoàn tiền được không ạ"
"hàng không đúng hình mẫu vết rách gối như lấy kéo cắt ngang qua loa, lừa đảo! ",1,"dạ, em chào quý khách ạ, em xin lỗi vì để mình không hài lòng về chất lượng sản phẩm, em có thể hỗ trợ mình đổi trả hoặc hoàn tiền được không ạ"
quần rất tệ không giống ảnh rất mỏng và xấu vô cùng. làm ăn chán,1,"dạ, em chào quý khách ạ, em xin lỗi vì để mình không hài lòng về chất lượng sản phẩm, em có thể hỗ trợ mình đổi trả hoặc hoàn tiền được không ạ"
như lol,1,
hàng quá kém không như quảng cáo,1,"dạ, em chào quýkhách ạ, em xin lỗi vìđểmình không hài lòng vềchất lượng sản phẩm, em có thểhỗtrợmình đổi trả được không ạ"
đặt rách gối khi giao lại không rách mặc không ôm chân,1,"dạ, em chào quýkhách ạ, em xin lỗi vìđểmình không hài lòng vềchất lượng sản phẩm, em có thểhỗtrợmình đổi trả được không ạ"
làm ăn chậm chạp,1,dạ shop xin lỗi và mong lần tới sẽ được phục vụ mình chu đáo hơn ạ !
lừa người 1 lần thôi. quả báo không chừa ai đâu,1,"dạ, em chào quýkhách ạ, em xin lỗi vìđểmình không hài lòng vềchất lượng sản phẩm, em có thểhỗtrợmình đổi trảhoặc hoàn tiền được không ạ"
kém,1,"dạ, em chào quýkhách ạ, em xin lỗi vìđểmình không hài lòng vềchất lượng sản phẩm, em có thểhỗtrợmình đổi trảhoặc hoàn tiền được không ạ"
nhầm size đầu gối cắt lệch ,1,"dạ, em chào quýkhách ạ, em xin lỗi vìđểmình không hài lòng vềchất lượng sản phẩm, em có thểhỗtrợmình đổi trảhoặc hoàn tiền được không ạ"
chất lượng kém size không giống trong bảng,1,"dạ, em chào quýkhách ạ, em xin lỗi vìđểmình không hài lòng vềchất lượng sản phẩm, em có thểhỗtrợmình đổi trảhoặc hoàn tiền được không ạ"
không đúng ảnh,1,"dạ, em chào quýkhách ạ, em xin lỗi vìđểmình không hài lòng vềchất lượng sản phẩm, em có thểhỗtrợmình đổi trảhoặc hoàn tiền được không ạ"
m8 mặc 33 ngắn tũn ,1,"dạ, em chào quý khách ạ, em xin lỗi vì để mình không hài lòng về chất lượng sản phẩm, em có thể hỗ trợ mình đổi trả hoặc hoàn tiền được không ạ"
rách gối bên to bên nhỏ . shop làm ăn ẩu,1,"dạ, em chào quý khách ạ, em xin lỗi vì để mình không hài lòng về chất lượng sản phẩm, em có thể hỗ trợ mình đổi trả hoặc hoàn tiền được không ạ"
sản phẩm không giống hình,1,"dạ, em chào quý khách ạ, em xin lỗi vì để mình không hài lòng về chất lượng sản phẩm, em có thể hỗ trợ mình đổi trả hoặc hoàn tiền được không ạ"
shop lừa đảo nha anh em cẩn thận con chó này,1,"dạ, em chào quý khách ạ, em xin lỗi vì để mình không hài lòng về chất lượng sản phẩm, em có thể hỗ trợ mình đổi trả hoặc hoàn tiền được không ạ"
chỉ khâu lỗi sứt chỉ ,1,
hình kia không giống cái này. khốn,1,
cũng tạm được,1,"dạ, em chào quý khách ạ, em xin lỗi vì để mình không hài lòng về chất lượng sản phẩm, em có thể hỗ trợ mình đổi trả hoặc hoàn tiền được không ạ"
hàng xấu ,1,"dạ, em chào quý khách ạ, em xin lỗi vì để mình không hài lòng về chất lượng sản phẩm, em có thể hỗ trợ mình đổi trả hoặc hoàn tiền được không ạ"
"hàng vải mỏng, giao hàng chậm 7 8 ngày mới giao tới không đáng mua",1,"rough thân chào anh! rough cũng đã liên hệ để hỗ trợ mình về đơn hàng này, shop cũng rất xin lỗi vì trải nghiệm mua hàng không tốt của mình tại shop. dạ thưa anh, đầu tiên, việc vận chuyển chậm dựa theo tình hình chung của cả nước, nhất là ở địa chỉ của mình - hcm -nơi dịch bệnh đang chuyển biến rất phức tạp. thứ 2 : khi nhận được phản hồi anh không ưng về sản phẩm shop cũng đã liên hệ để có thể hỗ trợ mình đổi hàng rồi mà không biết mình còn không hài lòng về điều gì ạ? hix hết kí tự mất rồi "
"shop gửi hàng lỗi, đến 2 cái lỗi y nhau cho mình. rách, thủng, sờn. dây rút cũng không đẹp như hình đâu. quần thậm chí còn 2 màu mỗi ống 1 màu. kiểm tra hàng kỹ trước khi nhận không là mất tiền oan, vì toàn lỗi không để ý kỹ là không thấy. dù shop đã giải quyết khá tốt nhưng mình vẫn muốn cảnh báo người mua sau ",1,"rough rất xin lỗi về trải nghiệm mua hàng không tốt của mình ạ. bên e sẽ lưu ý hơn trong khâu đóng gói và kiểm tra hàng ạ. rough cảm ơn góp ý của mình nhiều ạ, chúng mình sẽ tiếp thu và cải thiện chất lượng sản phẩm cũng như khâu cskh hơn trong tương lai ạ!"
"thấy khá thất vọng về chất lượng sản phẩm. đường may cẩu thả thụt ra thụt vào, shop có trao đổi về chất vải nhưng nó bị sổ lông và vốn không đẹp như video shop up lên. tem quần may méo mó, chất sờ như nilong vốn không phải như mô tả. thời gian giao hàng lâu thì chấp nhận được vì dịch bệnh",1,rough rất xin lỗi về vấn đề mình gặp phải và cảm ơn bạn đã để lại đánh giá sản phẩm chúng mình sẽ tiếp thu phản hồi của bạn để hoàn thiện sản phẩm tốt hơn để lần mua hàng tới bạn sẽ dành cho chúng mình 5 sao bạn nhé! có vấn đề nào khác về sản phẩm cũng như dịch vụ cskh bạn hãy nhắn lại để chúng mình hỗ trợ bạn nhé!
"sản phẩm gia công cẩu thả, thực tế khác với ảnh mô tả. shop giải quyết cũng chán. tôi rất là thất vọng luôn",1,rough rất xin lỗi bạn về vấn đề mình gặp phải. chúng mình sẽ tiếp thu phản hồi của bạn để hoàn thiện sản phẩm tốt hơn. có vấn đề nào khác về sản phẩm cũng như dịch vụ cskh bạn hãy nhắn lại để chúng mình hỗ trợ bạn nhé!
"lúc đặt hàng thì mẫu vẫn hiện còn hàng. qua hôm sau shop gọi và báo hết mẫu quần xanh rêu, nên bảo mình thanh toán đúng số tiền đi rồi sẽ refund sau. nhận hàng xong mình nhắn báo thì lại hẹn sang chiều hôm sau vì chủ nhật kế toán không làm. rồi lúc chuyển thì lại chuyển 89k với lí do như trên.",1,rough rất xin lỗi về vấn đề mình gặp phải và cảm ơn bạn đã để lại đánh giá sản phẩm chúng mình sẽ tiếp thu phản hồi của bạn để hoàn thiện sản phẩm tốt hơn để lần mua hàng tới bạn sẽ dành cho chúng mình 5 sao bạn nhé! có vấn đề nào khác về sản phẩm cũng như dịch vụ cskh bạn hãy nhắn lại để chúng mình hỗ trợ bạn nhé!
"đã mua 1 cái ưng ý (xám). đặt thêm cái thứ 2 thì cả 2 lần không chuyển hàng, đặt lần thứ 3 được thì 2 ngày sau báo hết màu đã chọn, yêu cầu chuyển màu khác, đồng ý. khi nhận hàng thì chất lượng  khủng so với lầm mua trước: cạp không chần giữ chun, lót túi vinilon rất khó chịu, đường may lởm . sập sớm thôi .",1,rough rất xin lỗi về vấn đề mình gặp phải và cảm ơn bạn đã để lại đánh giá sản phẩm chúng mình sẽ tiếp thu phản hồi của bạn để hoàn thiện sản phẩm tốt hơn để lần mua hàng tới bạn sẽ dành cho chúng mình 5 sao bạn nhé! có vấn đề nào khác về sản phẩm cũng như dịch vụ cskh bạn hãy nhắn lại để chúng mình hỗ trợ bạn nhé!
"quần may không kĩ, vừa nhận về mặc vào đã bị bung chỉ",1,rough rất xin lỗi về vấn đề mình gặp phải và cảm ơn bạn đã để lại đánh giá sản phẩm chúng mình sẽ tiếp thu phản hồi của bạn để hoàn thiện sản phẩm tốt hơn để lần mua hàng tới bạn sẽ dành cho chúng mình 5 sao bạn nhé! có vấn đề nào khác về sản phẩm cũng như dịch vụ cskh bạn hãy nhắn lại để chúng mình hỗ trợ bạn nhé!
quần cùng 1 size mà cái dài hơn. cái to hơn. cái nhỏ hơn! dán cùng mạc xl mà thực tế khác nhau. sợ shop luôn,1,rough rất xin lỗi về vấn đề mình gặp phải và cảm ơn bạn đã để lại đánh giá sản phẩm chúng mình sẽ tiếp thu phản hồi của bạn để hoàn thiện sản phẩm tốt hơn để lần mua hàng tới bạn sẽ dành cho chúng mình 5 sao bạn nhé! có vấn đề nào khác về sản phẩm cũng như dịch vụ cskh bạn hãy nhắn lại để chúng mình hỗ trợ bạn nhé!
ủa em đặt rêu với nâu mà lại giao quần xám với nâu cho em vậy. shop như vậy thì em té thôi không hài lòng !,1,"rough rất tiếc vì sản phẩm của chúng mình chưa làm bạn hài lòng. cảm ơn bạn đã để lại đánh giá góp ý cho sản phẩm, chúng mình sẽ tiếp thu phản hồi của bạn để hoàn thiện sản phẩm tốt hơn để lần mua hàng tới bạn sẽ dành cho chúng mình 5 sao bạn nhé! có vấn đề nào khác về sản phẩm cũng như dịch vụ cskh bạn hãy nhắn lại để chúng mình hỗ trợ bạn nhé!"
"mình mua 2 sản phẩm, săn sale với giá 89k, quần bị lỗi, hoàn lại hàng mất 30k tiền ship chứ không phải miễn phí trả hàng đâu ạ, shop trừ thêm voucher, nghĩa là không được cái quần mặc mà còn tốn thêm thời gian đi trả hàng với tốn tiền nữa. ",1,đầu tiên rough rất xin lỗi bạn về trải nghiệm mua hàng không tốt này ạ. chúng mình sẽ tiếp thu ý kiến của bạn để hoàn thiện sản phẩm cũng như dịch vụ tốt hơn ạ!
"cho code ảo không sử dụng được, làm ăn làm gian đụ lận",1,rough cảm ơn bạn đã tin tưởng sử dụng sản phẩm quần short đùi chất nhung tăm và đánh giá 5 sao cho chúng mình. đánh giá của bạn là động lực để chúng mình tiếp tục nỗ lực đem lại trải nghiệm mua hàng tốt hơn! một lần nữa rough chúc bạn nhiều sức khỏe ạ <3
"hình như vải cũ, phía trong bị kiểu vải sần lên liều. chất vải mỏng, nhiều chỉ thừa to cắt hoài vẫn không hết. phía trong túi quần sau thì bị nhiều lỗ nhỏ. quần đã giặt qua 2 lần, phơi nắng kỹ nhưng mặc vào vẫn bị ngứa hết cả mông.",1,"rough rất xin lỗi bạn về vấn đề mình gặp phải. chúng mình sẽ tiếp thu phản hồi của bạn. về phần sản phẩm gây ngứa khi mặc thì có thể còn tùy thuộc cơ địa mỗi người, bạn thấy đó chúng mình nhận được rất nhiều fedback là sản phẩm không bị ngứa khi mặc. tuy nhiên khi chúng mình liên hệ bạn đã giặt sản phẩm 2 lần, nên chúng mình không hỗ trợ trả hàng với th bạn được, mong bạn thông cảm. có vấn đề nào khác về sản phẩm cũng như dịch vụ cskh bạn hãy nhắn lại để chúng mình hỗ trợ bạn nhé!"
sản phẩm không đáng tiền lắm,1,"rough rất tiếc vì sản phẩm của chúng mình chưa làm bạn hài lòng. cảm ơn bạn đã để lại đánh giá góp ý cho sản phẩm, chúng mình sẽ tiếp thu phản hồi của bạn để hoàn thiện sản phẩm tốt hơn để lần mua hàng tới bạn sẽ dành cho chúng mình 5 sao bạn nhé! có vấn đề nào khác về sản phẩm cũng như dịch vụ cskh bạn hãy nhắn lại để chúng mình hỗ trợ bạn nhé!"
trước mua size m 1 lần khá hài lòng. nay mua size xl để cho bố mặc . kết quả nhỏ hơn m cũ. mặc dù đường may tốt hơn những phom vẫn là yếu tố quan trọng nhất khi mua sản phẩm. quá chán haizz,1,"rough rất tiếc vì sản phẩm của chúng mình chưa làm bạn hài lòng. cảm ơn bạn đã để lại đánh giá góp ý cho sản phẩm, chúng mình sẽ tiếp thu phản hồi của bạn để hoàn thiện sản phẩm tốt hơn để lần mua hàng tới bạn sẽ dành cho chúng mình 5 sao bạn nhé! có vấn đề nào khác về sản phẩm cũng như dịch vụ cskh bạn hãy nhắn lại để chúng mình hỗ trợ bạn nhé!"
"chất lượng sản phẩm quá tệ, dịch vụ người bán tồi tệ một trải nghiệm thất vọng nhất từng gặp",1,"rough rất lấy làm tiếc vì sản phẩm của chúng mình chưa làm bạn hài lòng, cảm ơn bạn đã để lại đánh giá sản phẩm chúng mình sẽ tiếp thu phản hồi của bạn để hoàn thiện sản phẩm tốt hơn để lần mua hàng tới bạn sẽ dành cho chúng mình 5 sao bạn nhé! có vấn đề nào khác về sản phẩm cũng như dịch vụ cskh bạn hãy nhắn lại để chúng mình hỗ trợ bạn nhé!"
ảnh và hàng nhận được là 2 cái hoàn toàn khác nhau. cái cạp quần nhìn đúng hàng 60-70k ngoài chợ. kiểu nhiều người mua nên muốn bán kiểu gì thì bán ạ ,1,rough rất xin lỗi về vấn đề mình gặp phải và cảm ơn bạn đã để lại đánh giá sản phẩm chúng mình sẽ tiếp thu phản hồi của bạn để hoàn thiện sản phẩm tốt hơn để lần mua hàng tới bạn sẽ dành cho chúng mình 5 sao bạn nhé! có vấn đề nào khác về sản phẩm cũng như dịch vụ cskh bạn hãy nhắn lại để chúng mình hỗ trợ bạn nhé!
"chất vải chỉ tạm ổn thôi với vải cũng khá mỏng , nhưng mà mặc lên nhám chứ không mịn. túi quần thì thêu như cho có không chắc chắn gì cả . chỉ mới nhận hàng nên chưa sử dụng không đánh giá gì được hơn",1,rough rất xin lỗi về vấn đề mình gặp phải và cảm ơn bạn đã để lại đánh giá sản phẩm chúng mình sẽ tiếp thu phản hồi của bạn để hoàn thiện sản phẩm tốt hơn để lần mua hàng tới bạn sẽ dành cho chúng mình 5 sao bạn nhé! có vấn đề nào khác về sản phẩm cũng như dịch vụ cskh bạn hãy nhắn lại để chúng mình hỗ trợ bạn nhé!
"shop bán hàng rất chi là tệ , từ nhân viên cho đến sản phẩm , lời khuyên chân thành tránh xa shop này ra nhé",1,rough cảm ơn bạn đã tin tưởng sử dụng sản phẩm quần short đùi chất nhung tăm và đánh giá 5 sao cho chúng mình. đánh giá của bạn là động lực để chúng mình tiếp tục nỗ lực đem lại trải nghiệm mua hàng tốt hơn! một lần nữa rough chúc bạn nhiều sức khỏe ạ <3
chất lượng tạm ổn. đơn vị giao hàng shopee express giao rất lâu. đề nghị shop làm việc với shopee không liên kết với đơn vị vận chuyển này để tránh bị mất khách hàng vì việc này.,1,rough rất xin lỗi bạn về vấn đề mình gặp phải. chúng mình sẽ tiếp thu phản hồi của bạn để hoàn thiện sản phẩm tốt hơn. có vấn đề nào khác về sản phẩm cũng như dịch vụ cskh bạn hãy nhắn lại để chúng mình hỗ trợ bạn nhé!
"quần quá tệ, vải kém chất lượng, ước gì có thể không cho sao nào luôn chứ 1 sao là còn tốt đó. đường chỉ sứt mẻ, may không đều, thật sự bỏ tiền ra mua không khác gì mua một cái nùi giẻ về nhà, quá thất vọng. vậy mà cũng bày đặt xưng danh shopee mall.không biết sản phẩm khác như nào, chắc cũng y chang",1,"rough thân chào bạn, chúng mình rất lấy làm tiếc vì sản phẩm của chúng mình không làm hài lòng bạn, tuy nhiên chúng mình sẽ rút kinh nghiệm để hoàn thiện sản phẩm tốt hơn bạn nhé, tôn chỉ của chúng mình là luôn lắng nghe ý kiến của khách hàng, do đó có bất cứ vấn đề gì về sản phẩm mong bạn hãy báo lại ngay cho chúng mình nha, chúng mình có hỗ trợ trả hàng hoàn tiền cho bạn mà. chúng mình cũng cam kết sản phẩm của chúng mình luôn luôn chính hãng bạn nhé. cảm ơn bạn !"
"quần mới mà bung chỉ nhiều, rách đáy quần",1,"rough rất lấy làm tiếc vì sản phẩm của chúng mình chưa làm bạn hài lòng, cảm ơn bạn đã để lại đánh giá sản phẩm chúng mình sẽ tiếp thu phản hồi của bạn để hoàn thiện sản phẩm tốt hơn để lần mua hàng tới bạn sẽ dành cho chúng mình 5 sao bạn nhé! có vấn đề nào khác về sản phẩm cũng như dịch vụ cskh bạn hãy nhắn lại để chúng mình hỗ trợ bạn nhé!"
đặt màu đen mà giao quần kiểu quần cũ phai hết màu,1,"rough rất tiếc vì sản phẩm của chúng mình chưa làm bạn hài lòng. cảm ơn bạn đã để lại đánh giá góp ý cho sản phẩm, chúng mình sẽ tiếp thu phản hồi của bạn để hoàn thiện sản phẩm tốt hơn để lần mua hàng tới bạn sẽ dành cho chúng mình 5 sao bạn nhé! có vấn đề nào khác về sản phẩm cũng như dịch vụ cskh bạn hãy nhắn lại để chúng mình hỗ trợ bạn nhé!"
vải như vải bố mà quảng cáo vải nhung ?,1,"rough rất lấy làm tiếc vì sản phẩm của chúng mình chưa làm bạn hài lòng, cảm ơn bạn đã để lại đánh giá sản phẩm chúng mình sẽ tiếp thu phản hồi của bạn để hoàn thiện sản phẩm tốt hơn để lần mua hàng tới bạn sẽ dành cho chúng mình 5 sao bạn nhé! có vấn đề nào khác về sản phẩm cũng như dịch vụ cskh bạn hãy nhắn lại để chúng mình hỗ trợ bạn nhé!"
vải bẩn,1,rough cảm ơn bạn đã tin tưởng sử dụng sản phẩm và đánh giá 5 sao cho chúng mình. đánh giá của bạn là động lực để chúng mình tiếp tục nỗ lực đem lại trải nghiệm mua hàng tốt hơn! một lần nữa rough chúc bạn nhiều sức khỏe ạ ❤
giao hàng nhằm còn không đàng hoàng.có clip toàn bộ tin nhắn mọi người xem. còn 1 cái nữa là nút quần bằng cao su nên không tốt. giá thế này mình không nói chuyện về chất lượng nhưng giao nhằm còn chối. xem clip mọi người sẽ hiểu ,1,"cảm ơn anh/chị đã quan tâm đến shop, có thể shop không phục vụ anh chị chu đáo tạo nên sự không hài lòng cho anh chị. nếu sản phẩm anh/chị nhận được có bị lỗi hãy inbox cho shop để được hỗ trợ đổi trả ạ. chúc anh chị vui vẻ nha."
giao hàng nhằm còn không đàng hoàng.có clip toàn bộ tin nhắn mọi người xem. còn 1 cái nữa là nút quần bằng cao su nên không tốt. giá thế này mình không nói chuyện về chất lượng nhưng giao nhầm còn chối. xem clip mọi người sẽ hiểu ,1,"cảm ơn anh/chị đã quan tâm đến shop, có thể shop không phục vụ anh chị chu đáo tạo nên sự không hài lòng cho anh chị. nếu sản phẩm anh/chị nhận được có bị lỗi hãy inbox cho shop để được hỗ trợ đổi trả ạ. chúc anh chị vui vẻ nha."
do không thể đặt 2 màu một lúc nên nhắn tin shop là lấy 2 màu đen và xanh đen shop đã đồng ý nhưng lúc giao thì 2 quần màu đen,1,
"đặt hàng 6 cái quần size 34, giao 1 cái quần size 30, người nhà không biết thanh toán đủ 341k. khi về mở ra phát hiện sai, khiếu nại thì nói đặt đơn mới sẽ hoàn xu gì đó. đến khi giao đơn mới thì vẫn thu 341k. mình định không nhận hàng nhưng nghĩ tội shipper. không tin nhắn hay điện thoại mà im lặng luôn.",1,
"đặt 4 quần size 31 mà quần chật quần rộng như không cùng size, đổi trả thì nói là đã giao đúng những gì khách đặt. còn nữa đặt màu kem sữa giao màu đỏ đô. đúng đâu mà đúng ?",1,
sản phẩm cực tệ . kỹ thuật tập cắt . và đường may trông như đường đua công thức f1 đang làm giở . ẩu không tả nổi các bạn đừng mất tiền ngu ! các bạn tưởng tượng cái túi hậu có hai cái túi có nắp đậy nhìn như nắp đậy bô vệ sinh trẻ em các bạn hình dung đã may xấu xí ẩu lại còn may 3 đường chỉ rúm ró,1,zobashop chân thành gửi lời cảm ơn anh/chị đã ghé thăm và tin tưởng ủng hộ sản phẩm shop e ạ. shop em xin chúc anh/chị nhiều sức khỏe và gặp nhiều may mắn ạ . hẹn gặp lại anh/chị vào đơn hàng lần sau nhé.
quần màu đen đặt size 30 mà còn hơn size 33 nữa,1,
shop phục vụ tệ quá. lúc mình mua có nhắn tin hỏi size rồi mới đặt hàng. hỏi shop shop cũng bảo 29 là vừa. vậy mà khi nhận hàng thật không thể tin nổi quần size 29.mà nó rộng không tả được. mình mang về cho người nhà mình 60kg mặc cũng không vừa. vải thì cứng.quần thì rộng.,1,"cảm ơn anh/chị đã quan tâm đến shop, có thể shop không phục vụ bạn chu đáo tạo nên sự không hài lòng cho bạn. nếu sản phẩm anh/chị nhận được có bị lỗi hãy inbox cho shop để được hỗ trợ đổi trả ạ. chúc anh chị vui vẻ nha."
"hàng giao quá lâu, địa chỉ ghi rõ hóc môn thành phố hồ chí minh mà gửi đâu ra ngoài đắk lắk. trải nghiệm shopee càng ngày quá tệ, shop giao quần có mẫu không đúng size bị chật. hết dám mua lần 2",1,"cảm ơn anh đã quan tâm và ủng hộ sản phẩm của zobashop. shop thấy anh đánh giá về sản phẩm, shop rất mong nhận được chia sẻ/góp ý của anh để shop có thể cải thiện tốt hơn được không ạ. ngoài ra, shop còn có chính sách đổi trả, hoàn tiền miễn phí với các sản phẩm lỗi/không vừa size/hỏng/không giống mô tả nên anh hoàn toàn yên tâm nhé. anh check ib shop để shop hỗ trợ cho anh nhé"
giao hàng qúa chậm (từ quận 12 đến thủ đức mà mất 6 ngày). thái độ rất tệ.,1,"cảm ơn anh/chị đã quan tâm đến shop, có thể shop không phục vụ bạn chu đáo tạo nên sự không hài lòng cho bạn, nếu sản phẩm anh/chị nhận được có bị lỗi hãy inbox cho shop để được hỗ trợ đổi trả ạ. chúc anh chị vui vẻ nha."
"giao màu lộn xộn,không đúng mẫu",1,
chất lượng quá kém đặt màu này giao màu kia hàng không đúng size không nên mua nhé,1,"cảm ơn anh đã quan tâm và ủng hộ sản phẩm của zobashop. shop thấy anh đánh giá về sản phẩm, shop rất mong nhận được chia sẻ/góp ý của anh để shop có thể cải thiện tốt hơn được không ạ. ngoài ra, shop còn có chính sách đổi trả, hoàn tiền miễn phí với các sản phẩm lỗi/không vừa size/hỏng/không giống mô tả nên anh hoàn toàn yên tâm nhé. anh check ib shop để shop hỗ trợ cho anh nhé❤"
